,0
0,Mongolia
1,Montenegro
2,Mexico
3,Micronesia (Federated States of)
4,Mauritius
5,Mayotte
6,Montserrat
7,Niger
8,Nigeria
9,New Zealand
10,Nicaragua
11,New Caledonia
12,Netherlands Antilles (former)
13,Cameroon
14,Canada
15,Cayman Islands
16,Central African Republic
17,China
18,"China, Hong Kong SAR"
19,Chile
20,Chad
21,Fiji
22,Finland
23,Eswatini
24,Ethiopia
25,Ethiopia PDR
26,Faroe Islands
27,Falkland Islands (Malvinas)
28,France
29,Estonia
30,Guyana
31,Haiti
32,Hungary
33,Iceland
34,Ireland
35,Isle of Man
36,India
37,Iran (Islamic Republic of)
38,Israel
39,Nauru
40,Nepal
41,Netherlands
42,Namibia
43,Myanmar
44,Kenya
45,Kiribati
46,Kuwait
47,Morocco
48,Mozambique
49,Guatemala
50,Guinea
51,Honduras
52,Guinea-Bissau
53,Grenada
54,Guadeloupe
55,Guam
56,Brunei Darussalam
57,Cabo Verde
58,Cambodia
59,Burundi
60,Bulgaria
61,Burkina Faso
62,Czechia
63,Czechoslovakia
64,Democratic People's Republic of Korea
65,Channel Islands
66,Democratic Republic of the Congo
67,Denmark
68,Cyprus
69,Indonesia
70,Malawi
71,Malaysia
72,Malta
73,Marshall Islands
74,Martinique
75,Mauritania
76,Italy
77,Lesotho
78,Liberia
79,Libya
80,Lithuania
81,Luxembourg
82,Lebanon
83,Jamaica
84,Japan
85,Iraq
86,Kazakhstan
87,Jordan
88,Mali
89,Maldives
90,Madagascar
91,Kyrgyzstan
92,Lao People's Democratic Republic
93,Latvia
94,United Kingdom of Great Britain and Northern Ireland
95,United Republic of Tanzania
96,Turkmenistan
97,Turks and Caicos Islands
98,United States of America
99,Tuvalu
100,Uganda
101,Ukraine
102,Uruguay
103,USSR
104,Uzbekistan
105,Eastern Asia
106,Southern Asia
107,Central Asia
108,South-eastern Asia
109,Western Asia
110,Panama
111,Papua New Guinea
112,North Macedonia
113,Palestine
114,Paraguay
115,Peru
116,Tonga
117,Trinidad and Tobago
118,Tunisia
119,Timor-Leste
120,Togo
121,Tajikistan
122,Thailand
123,Tokelau
124,Zimbabwe
125,World
126,United Arab Emirates
127,Africa
128,Eastern Africa
129,Yugoslav SFR
130,Zambia
131,Northern Europe
132,Southern Europe
133,Europe
134,Eastern Europe
135,Republic of Moldova
136,Réunion
137,Romania
138,Philippines
139,Saint Lucia
140,Saint Pierre and Miquelon
141,Saint Vincent and the Grenadines
142,Samoa
143,Sao Tome and Principe
144,Saudi Arabia
145,Senegal
146,Turkey
147,Caribbean
148,South America
149,Asia
150,Palau
151,Sri Lanka
152,Sudan
153,Sudan (former)
154,South Sudan
155,Spain
156,South Africa
157,Suriname
158,Melanesia
159,Micronesia
160,Oceania
161,Australia and New Zealand
162,Western Europe
163,United States Virgin Islands
164,Americas
165,Northern America
166,Central America
167,Western Africa
168,Wallis and Futuna Islands
169,Western Sahara
170,Yemen
171,Southern Africa
172,Middle Africa
173,Northern Africa
174,Vanuatu
175,Venezuela (Bolivarian Republic of)
176,Viet Nam
177,Non-Annex I countries
178,OECD
179,Low Income Food Deficit Countries
180,European Union (28)
181,European Union (27)
182,Least Developed Countries
183,Small Island Developing States
184,Net Food Importing Developing Countries
185,Polynesia
186,Land Locked Developing Countries
187,Republic of Korea
188,Singapore
189,Serbia
190,Serbia and Montenegro
191,Seychelles
192,Sierra Leone
193,Slovakia
194,Oman
195,Niue
196,Norway
197,Pakistan
198,Switzerland
199,Syrian Arab Republic
200,Sweden
201,Slovenia
202,Solomon Islands
203,Somalia
204,Rwanda
205,"Saint Helena, Ascension and Tristan da Cunha"
206,Norfolk Island
207,Saint Kitts and Nevis
208,Russian Federation
209,Pitcairn
210,Poland
211,Pacific Islands Trust Territory
212,Qatar
213,Portugal
214,Puerto Rico
215,Northern Mariana Islands
216,Annex I countries
217,Belgium-Luxembourg
218,Belize
219,Benin
220,Belarus
221,Belgium
222,Bahrain
223,Bangladesh
224,Barbados
225,Bolivia (Plurinational State of)
226,Bosnia and Herzegovina
227,Bhutan
228,Bermuda
229,Botswana
230,Afghanistan
231,Albania
232,Brazil
233,British Virgin Islands
234,Azerbaijan
235,Bahamas
236,Australia
237,Austria
238,Angola
239,Anguilla
240,Antigua and Barbuda
241,Argentina
242,Armenia
243,Aruba
244,Algeria
245,American Samoa
246,Djibouti
247,Dominican Republic
248,Ecuador
249,Dominica
250,Costa Rica
251,Côte d'Ivoire
252,Croatia
253,Cuba
254,Egypt
255,Equatorial Guinea
256,Eritrea
257,El Salvador
258,"China, Macao SAR"
259,"China, mainland"
260,"China, Taiwan Province of"
261,Colombia
262,French Polynesia
263,Gabon
264,Gambia
265,Georgia
266,French Guyana
267,Germany
268,Comoros
269,Congo
270,Cook Islands
271,Ghana
272,Gibraltar
273,Greece
274,Greenland
