,item
Food systems,12593
IPCC Agriculture,12593
Energy,12593
Energy - food systems,12593
Farm-gate emissions,12593
Land Use change,12593
AFOLU,12593
All sectors without LULUCF,12593
Food Household Consumption,12593
All sectors with LULUCF,12593
Waste - food systems,12593
Emissions on agricultural land,12593
LULUCF,12593
Food Transport,12593
Food Processing,12593
Food Waste Disposal,12593
On-farm electricity use,12593
Pre- and post- production,12593
Food Packaging,12581
LULUCF - food systems,12533
IPPU,12037
Waste,11525
Food Retail,10224
Other,7713
Fertilizers Manufacturing,6361
IPPU - food systems,3080
