,ipcc_description
Manufacturing Industries and Construction,15352
Residential and other sectors,8465
Other Sectors,8166
Public electricity and heat production,7399
Main Activity Electricity and Heat Production,7399
Road Transportation,6906
Road transportation,6906
Other Energy Industries,6713
Agricultural waste burning,6468
Emissions from biomass burning,6468
Fugitive emissions from oil and gas,6355
Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,6155
Oil and Natural Gas,6088
Incineration and Open Burning of Waste,5029
Waste incineration,5029
Chemical Industry,4608
Production of chemicals,4608
Cement production,4572
Solvent and other product use: other,4465
Non-Specified,4359
Manure management,4324
Manure Management,4324
Domestic aviation,4284
Civil Aviation,4284
Wastewater Treatment and Discharge,4278
Wastewater handling,4278
Water-borne Navigation,4234
Inland navigation,4234
Railways,4214
Rail transportation,4214
Solid Fuels,4001
Fugitive emissions from solid fuels,3733
Production of metals,3293
Metal Industry,3238
Lime production,3194
Solvent and other product use: paint,2303
Production of other minerals,2303
Glass Production,2303
Non-Energy Products from Fuels and Solvent Use,2303
Solid Waste Disposal,2162
Indirect N2O from non-agricultural NOx,2162
Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,2162
Direct N2O Emissions from managed soils,2162
Manure in pasture/range/paddock,2162
Enteric fermentation,2162
Solid waste disposal on land,2162
Indirect N2O Emissions from managed soils,2162
Enteric Fermentation,2162
Direct soil emissions,2162
Indirect N2O Emissions from manure management,2162
Indirect N2O from non-agricultural NH3,2162
Indirect N2O from agriculture,2162
Other Product Manufacture and Use,2162
Other direct soil emissions,2156
Urea application,2006
Liming,1847
Other Transportation,1712
Other transportation,1712
Rice cultivations,1623
Rice cultivation,1623
Non-energy use of lubricants/waxes (CO2),1546
Biological Treatment of Solid Waste,1196
Other waste handling,1196
Solvent and other product use: degrease,1089
Other Process Uses of Carbonates,1048
Soda ash production and use,1027
Solvent and other product use: chemicals,810
Limestone and dolomite use,718
Fossil fuel fires,426
Other,426
Fugitive emissions from gaseous fuels,77
