,0
0,United States
1,Mexico
2,Brazil
3,Columbia
4,Venezuela
5,Chile
6,Peru
7,India
8,Bangladesh
9,Sri Lanka
10,Myanmar
11,Pakistan
12,Russia
13,Ukraine
14,Kazakhstan
15,Azerbaijan
16,Armenia
17,Afghanistan
18,Uzbekistan
19,South Africa
20,Nigeria
21,Ghana
22,Morocco
23,Egypt
24,Kenya
25,China
26,Japan
27,Hong Kong
28,Singapore
29,Thailand
30,Malaysia
31,Korea
32,Viet Nam
33,United Kingdom
34,France
35,Germany
36,Norway
37,Italy
38,Spain
39,Portugal
40,Sweden
41,Turkey
42,Greece
43,Saudi Arabia
44,Bahrain
45,Syrian Arab Republic
46,Iraq
47,Qatar
48,United Arab Emirates
49,Kuwait
